"SL","Name","Category","Price","Stock","Status"
"1","কালোজিরা (Kalojira) – 500G","Super Foods","450","20","Active"
"2","কিসমিস (kissmiss) – 500G / 1KG","Dry Food","650","20","Active"
"3","Tea","Super Foods","200","20","Active"
"4","Sea Seed","Super Foods","600","20","Active"
"5","কাঠবাদাম (Almond) – 500G","Nuts & Dates","1000","100","Active"
"6","সুক্কারি খেজুর (Sukkari Dates) – 1KG","Nuts & Dates","1200","101","Active"
"7","ত্বীন ফল ( premium dried fig) – 1 kg","Dry Food","2000","100","Active"
"8","Roasted Cashew Nuts (নোনা কাজু বাদাম)","Nuts & Dates","1400","100","Active"
"9","Ajwa Dates (আজওয়া খেজুর)","Nuts & Dates","1400","100","Active"
"10","Maryam Dates (Saudi) (মরিয়ম খেজুর)","Nuts & Dates","1100","100","Active"
"11","Almond (কাঠ বাদাম)","Nuts & Dates","1500","100","Active"
"12","Almond (কাঠ বাদাম)","Nuts & Dates","1500","100","Active"
"13","Khaas Signature Laccha Semai","Ghee & Oil","1300","100","Active"
"14","Khaas Signature Ghee","Ghee & Oil","1100","100","Active"
"15","Peanut Butter (Diabetics)","Ghee & Oil","1400","100","Active"
"16","Pure Ghee (ঘি)","Ghee & Oil","950","100","Active"
"17","Malai Ghee – মালাই ঘি","Ghee & Oil","2300","100","Active"
"18","Gawa Ghee – গাওয়া ঘি","Ghee & Oil","1300","100","Active"
"19","Black Seed Honey","Original Organic Honey","1400","100","Active"
"20","Blended Floral Honey (ব্লেন্ডেড ফ্লোরাল হানি)","Original Organic Honey","1100","100","Active"
"21","সুন্দরবনের চাকের মধু | Sundarbans Natural Honey","Original Organic Honey","1300","100","Active"
"22","কালোজিরা ফুলের মধু | Black Seed Flower Honey","Original Organic Honey","2000","100","Active"
"23","মিশ্র ফুলের মধু | Mix Flower Honey","Original Organic Honey","1400","100","Active"
"24","লিচু ফুলের মধু | Litchi Flower Honey","Original Organic Honey","1100","100","Active"
